1,40.9149767,24.7890582,50.506,9.831,41.84,41.527,42.078,41.6,41.84,0.005,0.001
2,40.9327036,24.8824293,43.642,2.8909,41.802,41.626,42.074,41.718,41.868,0.011,0.001
3,40.9349906,24.7734554,54.401,13.7809,41.913,41.559,42.16,41.647,41.915,0.003,0.0006
4,40.9411124,24.9657454,43.917,3.0709,41.75,41.652,42.044,41.763,41.877,0.004,0.0005
5,39.5358746,22.7918891,147.404,109.0738,38.792,39.127,38.816,39.239,38.879,0.018,0.0013
6,39.5477807,22.947066,504.607,465.7447,38.971,39.553,38.986,39.581,39.184,0.014,0.0009
7,39.5815886,22.8431284,767.801,728.9356,38.9,39.55,38.921,39.568,39.008,0,0.0016
8,39.5825977,22.7888599,599.243,560.5356,38.864,39.416,38.887,39.453,38.926,0,0.0011
9,39.679582,22.8829551,146.077,107.2223,39.241,39.541,39.258,39.608,39.322,0.001,0.0013
10,39.6915403,22.7897419,219.512,180.5272,39.19,39.689,39.205,39.797,39.18,0.02,0.001
11,36.4341617,23.1214533,68.809,42.7343,26.174,26.612,26.008,26.494,25.869,0.005,0.0007
12,36.4598682,23.1765291,428.699,401.8732,26.988,27.297,26.838,27.181,26.704,0.018,0.001
13,36.4655793,23.0811843,165.314,139.1562,26.251,26.738,26.086,26.636,25.951,0.01,0.0009
14,36.4760407,23.1579945,261.184,234.2702,27.057,27.47,26.906,27.346,26.773,0.005,0.0008
15,39.7786982,21.5151944,360.263,324.5399,36.691,36.594,36.909,36.729,36.942,0.002,0.001
16,39.7846379,21.6978637,810.031,773.5519,37.201,37.277,37.414,37.406,37.387,0.021,0.005
17,39.8578766,21.717373,874.1,836.9196,37.783,38.007,38.002,38.13,37.969,0.001,0.0009
18,39.8434074,21.6070822,719.024,682.3127,37.412,37.483,37.644,37.624,37.656,0.005,0.001
19,39.8684369,21.5672219,654.837,618.0046,37.513,37.645,37.752,37.776,37.781,0.01,0.0002
20,39.8873841,21.6547405,562.908,525.7905,37.893,38.02,38.125,38.17,38.124,0.012,0.0009
21,39.9406206,21.7276241,570.838,532.8144,38.463,38.758,38.683,38.876,38.655,0.005,0.001
22,39.9716644,21.5232107,927.974,890.3453,38.178,38.431,38.429,38.535,38.492,0.01,0.002